"Country Code","Country.x","GDP per capita (current US$)","Health expenditure per capita (current US $)","Poverty head count ratio at $1.90 a day (% of population)","Poverty head count ratio at $3.20 a day (% of population)","Poverty headcount ratio at $5.50 a day (% of population)","Gini index (World Bank estimate)","Adult Literacy rate (% of people ages 15 and above)","Gender Parity Index (GPI)","Education, at least completed primary, population 25+ years, total (%) (cumulative)","Education, at least completed upper secondary, population 25+, total (%) (cumulative)","Education, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Hospital beds (per 1,000 people)","Refugee population by country or territory of asylum","Gender Inequality Index (GII)","DTP (Child Vax)","MEASLES (Child Vax)","CPI score 2020 (Corruption Index)","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","stringency_index","Flu Vax Value","Government Effectiveness Index Rank","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","aged_65_older","cum_first_doses","cum_second_doses","cum_additional1_doses","cum_unknown_doses","total_population","percent_atleast_onedose_total_pop","percent_fully_vaccinated_total_pop","percent_boosted_total_pop","total_doses_received","total_doses_exported","available_doses","percent_doses_utilised","unknown_dose_hcw","hcw_population","percent_atleast_onedose_hcw","percent_fully_vaccinated_hcw","percent_boosted_hcw","unknown_dose_ltcf","ltcf_population","percent_atleast_onedose_ltcf","percent_fully_vaccinated_ltcf","percent_boosted_ltcf","unknown_dose_above60","above60_population","percent_atleast_onedose_above60","percent_fully_vaccinated_above60","percent_boosted_above60"
"GRC","Greece",17622.5410033504,1566.89990234,0.1,0.3,2.9,32.9,97.9359512329102,0.976090013980865,96.4685211181641,65.2687072753906,26.0435390472412,3.7019,6.2262,4.2,103136,0.116,99,97,50,0.1576,0.03,0.153,78.935,51,"69.230766296386719",17267126,7469043,7011834,TRUE,69117,65702,166.5,72.02,67.61,TRUE,6335,8316,0.08,10370747,83.479,20.396,7486647,6493693,3585622,0,10718565,0.698474749185175,0.658682575512674,0.334524444270292,23236580,0,23236580,0.755961591593944,0,274955,0.917321016166282,0.885912240184758,0.621167100070921,0,28997,0.876469979653068,0.864813601407042,0.615098113597958,0,3068849,0.87897123644728,0.836852839615113,0.636894483892821
"HRV","Croatia",14134.1626811193,1014.22235107,0.4,0.7,2.4,29.7,99.125358581543,1.03872001171112,96.9740219116211,70.7059707641602,NA,6.192,2.9996,5.54,966,0.116,NA,NA,47,0.369,0.0763,0.4447,40.74,NA,"68.75",4729751,2259393,1953540,TRUE,4722,11847,115.88,55.35,47.86,TRUE,2902,1120,0.027,4081657,73.726,19.724,2263163,1958706,523749,1517,4058165,0.557681365838994,0.529117224164123,0.129060548302004,5836040,489900,5346140,0.887955609093664,74,75575,0.792219649354945,0.760965927886206,0.303354283824016,0,NA,NA,NA,NA,1196,1149355,0.782179570280723,0.758450609254756,0.318878849441643
"HUN","Hungary",15980.740889649,1081.80285645,0.2,0.5,2,29.6,99.0999984741211,1.09373998641968,99.6724624633789,80.0114974975586,24.0824909210205,5.2593,3.4075,7.01,5898,0.233,99.9,100,44,0.1522,0.0297,0.5244,22.22,24.1,"72.115386962890625",15219498,6266483,5982104,TRUE,NA,10347,157.97,65.04,62.09,TRUE,1074,2526,0.026,9634162,108.043,18.577,6206325,5719457,3153416,0,9769526,0.635273911958472,0.607141636144886,0.322780859583157,29658916,0,29658916,0.508420402148211,0,172621,1,1,0.398653697985761,0,97994,0.739065657081046,0.70133885748107,0.404075759740392,0,2593613,0.826416277216377,0.811132192813654,0.611201054282192
"IRL","Ireland",85267.7647437582,5489.07080078,0.2,0.3,0.4,31.4,99,1.04007995128632,NA,70.7767715454102,31.1619205474854,13.0118,3.352,2.97,9070,0.093,94.5,92,72,0.1206,0.0312,0.155,52.78,68.5,"90.865386962890625",9762217,3901849,3846229,TRUE,21247,25187,195.91,78.3,77.19,TRUE,5055,528,0.011,4982904,69.874,13.928,3899789,3606579,2239097,0,4964440,0.785544593146458,0.774354207121045,0.451027104769118,11688160,835000,10853160,0.897938019894667,0,250000,1,1,1.013328,0,105000,0.462771428571429,0.44747619047619,0.331571428571429,0,973555,1,1,0.932356158614562
"ISL","Iceland",59270.1800510483,6530.93212891,0,0,0,26.1,99,0.987950026988983,NA,74.1449813842773,36.6183090209961,17.1888,4.1416,2.83,1510,0.058,91,93,75,0.0798,0.082,0.1913,37.96,49.4,"91.346153259277344",718540,288415,284101,TRUE,NA,395,194.84,78.21,77.04,TRUE,1071,62,0.017,368792,3.404,14.431,285858,227653,200214,0,364134,0.78503517935705,0.773896422745473,0.549836049366442,817960,100620,717340,0.994960548693785,0,22845,1,1,0.980564674983585,0,13972,0.520684225594045,0.51002004008016,0.379687947323218,0,72906,1,1,0.918922996735522
"ISR","Israel",44168.9436355026,3323.65063477,0.2,0.7,2.7,39,97.099998,1.01429998874664,95.6309967041016,81.4417495727539,33.2059211730957,6.6047,5.4667,2.98,1898,0.109,97.6,98,60,0.3436,0.5525,0.3469,56.48,58.2,"83.173080444335938",16749077,6569875,5927769,TRUE,15770,22931,180.27,70.71,63.8,TRUE,2468,8799,0.095,9291000,402.606,11.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITA","Italy",31714.2209467105,2988.99584961,1.4,1.8,3.1,35.9,99.15576171875,0.983399987220764,96.7274398803711,52.4560317993164,16.5459804534912,5.8867,8.013,3.14,128033,0.069,95.1,93,53,0.1145,0.1147,0.3027,76.85,52.7,"67.307693481445313",111149978,48328875,44692163,TRUE,280007,423709,184.12,80.06,74.03,TRUE,7019,38181,0.063,60367471,205.859,23.021,47989420,42834498,19174972,2658,59641488,0.804631500810308,0.742982183811376,0.321503916870753,118405647,0,118405647,0.929022819325501,4687684,NA,NA,NA,NA,1874948,NA,NA,NA,NA,1289,17752440,0.948476265797828,0.901117874500632,0.600374540063225
"KAZ","Kazakhstan",9122.23343021644,275.85461426,0,0.2,4.6,27.8,99.7816314697266,0.999840021133423,99.9406204223633,97.399787902832,34.0811004638672,7.2936,3.98,6.06,445,0.19,NA,NA,38,0.6171,0.6621,0.5898,71.3,NA,"60.096153259277344",17501273,8986163,8515110,NA,22884,19609,92.14,47.31,44.83,NA,1032,7870,0.041,18994958,6.681,6.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KGZ","Kyrgyz Republic",1173.61130419926,85.73608398,0.6,9.7,52.6,29.7,99.5859985351563,0.998260021209717,97.9721069335938,88.3701934814453,16.2025909423828,5.6026,2.213,4.41,334,0.369,NA,NA,31,0.6752,0.5949,0.447,47.22,NA,"32.692306518554688",2255224,1231313,999356,NA,786,5138,34.02,18.58,15.08,NA,775,2521,0.038,6628347,32.333,4.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIE","Liechtenstein",175813.875592058,10231.675176,NA,NA,NA,NA,100,0.912980020046234,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25168,23397,12139,0,38747,0.649547061708003,0.609363305546236,0.313288770743541,67800,0,67800,0.895339233038348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
